section,age,group,persons,males,females,source_image
1. ALL COMMUNITIES.,15-20,WIDOWED,2255,829,1426,Aurangabad.png
1. ALL COMMUNITIES.,15-20,DIVORCED,526,238,288,Aurangabad.png
1. ALL COMMUNITIES.,20-30,POPULATION,188779,97084,91695,Aurangabad.png
1. ALL COMMUNITIES.,20-30,UNMARRIED,21059,15321,5738,Aurangabad.png
1. ALL COMMUNITIES.,20-30,MARRIED,157035,77222,79813,Aurangabad.png
1. ALL COMMUNITIES.,20-30,WIDOWED,8210,3393,4817,Aurangabad.png
1. ALL COMMUNITIES.,20-30,DIVORCED,2475,1148,1327,Aurangabad.png
1. ALL COMMUNITIES.,30-40,POPULATION,141586,77790,63796,Aurangabad.png
1. ALL COMMUNITIES.,30-40,UNMARRIED,5699,3967,1732,Aurangabad.png
1. ALL COMMUNITIES.,30-40,MARRIED,122888,69019,53869,Aurangabad.png
1. ALL COMMUNITIES.,30-40,WIDOWED,11003,4046,6957,Aurangabad.png
1. ALL COMMUNITIES.,30-40,DIVORCED,1996,758,1238,Aurangabad.png
1. ALL COMMUNITIES.,40-50,POPULATION,101129,55946,45183,Aurangabad.png
1. ALL COMMUNITIES.,40-50,UNMARRIED,2819,1710,1109,Aurangabad.png
1. ALL COMMUNITIES.,40-50,MARRIED,80470,48710,31760,Aurangabad.png
1. ALL COMMUNITIES.,40-50,WIDOWED,16779,4993,11786,Aurangabad.png
1. ALL COMMUNITIES.,40-50,DIVORCED,1061,533,528,Aurangabad.png
1. ALL COMMUNITIES.,50-60,POPULATION,62775,33651,29124,Aurangabad.png
1. ALL COMMUNITIES.,50-60,UNMARRIED,1410,881,529,Aurangabad.png
1. ALL COMMUNITIES.,50-60,MARRIED,42874,27267,15607,Aurangabad.png
1. ALL COMMUNITIES.,50-60,WIDOWED,17613,5125,12488,Aurangabad.png
1. ALL COMMUNITIES.,50-60,DIVORCED,878,378,500,Aurangabad.png
1. ALL COMMUNITIES.,60 & over,POPULATION,54707,26054,28653,Aurangabad.png
1. ALL COMMUNITIES.,60 & over,UNMARRIED,1165,795,370,Aurangabad.png
1. ALL COMMUNITIES.,60 & over,MARRIED,30862,19823,11039,Aurangabad.png
1. ALL COMMUNITIES.,60 & over,WIDOWED,21984,5084,16900,Aurangabad.png
1. ALL COMMUNITIES.,60 & over,DIVORCED,696,352,344,Aurangabad.png
1. ALL COMMUNITIES.,Total,POPULATION,1071950,548002,523948,Aurangabad.png
1. ALL COMMUNITIES.,Total,UNMARRIED,393024,220555,172469,Aurangabad.png
1. ALL COMMUNITIES.,Total,MARRIED,589472,298588,290884,Aurangabad.png
1. ALL COMMUNITIES.,Total,WIDOWED,80581,24960,55621,Aurangabad.png
1. ALL COMMUNITIES.,Total,DIVORCED,8873,3899,4974,Aurangabad.png
2. Brahmanic Hindus.,Total,POPULATION,36308,18467,17841,Aurangabad.png
2. Brahmanic Hindus.,Total,UNMARRIED,15110,8335,6775,Aurangabad.png
2. Brahmanic Hindus.,Total,MARRIED,18902,9437,9465,Aurangabad.png
2. Brahmanic Hindus.,Total,WIDOWED,2296,695,1601,Aurangabad.png
2. Brahmanic Hindus.,Total,DIVORCED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,0-1,POPULATION,1163,637,526,Aurangabad.png
2. Brahmanic Hindus.,0-1,UNMARRIED,1163,637,526,Aurangabad.png
2. Brahmanic Hindus.,0-1,MARRIED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,0-1,WIDOWED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,0-1,DIVORCED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,1-5,POPULATION,4492,2729,1763,Aurangabad.png
2. Brahmanic Hindus.,1-5,UNMARRIED,4430,2703,1727,Aurangabad.png
2. Brahmanic Hindus.,1-5,MARRIED,57,26,31,Aurangabad.png
2. Brahmanic Hindus.,1-5,WIDOWED,5,0,5,Aurangabad.png
2. Brahmanic Hindus.,1-5,DIVORCED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,5-10,POPULATION,4314,1275,3039,Aurangabad.png
2. Brahmanic Hindus.,5-10,UNMARRIED,4064,1211,2853,Aurangabad.png
2. Brahmanic Hindus.,5-10,MARRIED,221,64,157,Aurangabad.png
2. Brahmanic Hindus.,5-10,WIDOWED,29,0,29,Aurangabad.png
2. Brahmanic Hindus.,5-10,DIVORCED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,10-15,POPULATION,4621,2024,2597,Aurangabad.png
2. Brahmanic Hindus.,10-15,UNMARRIED,3072,1599,1473,Aurangabad.png
2. Brahmanic Hindus.,10-15,MARRIED,1508,413,1095,Aurangabad.png
2. Brahmanic Hindus.,10-15,WIDOWED,41,12,29,Aurangabad.png
2. Brahmanic Hindus.,10-15,DIVORCED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,15-20,POPULATION,3914,2135,1779,Aurangabad.png
2. Brahmanic Hindus.,15-20,UNMARRIED,1857,1668,189,Aurangabad.png
2. Brahmanic Hindus.,15-20,MARRIED,2017,459,1558,Aurangabad.png
2. Brahmanic Hindus.,15-20,WIDOWED,40,8,32,Aurangabad.png
2. Brahmanic Hindus.,15-20,DIVORCED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,20-30,POPULATION,6411,3213,3198,Aurangabad.png
2. Brahmanic Hindus.,20-30,UNMARRIED,426,419,7,Aurangabad.png
2. Brahmanic Hindus.,20-30,MARRIED,5778,2737,3041,Aurangabad.png
2. Brahmanic Hindus.,20-30,WIDOWED,207,57,150,Aurangabad.png
2. Brahmanic Hindus.,20-30,DIVORCED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,30-40,POPULATION,4639,2151,2488,Aurangabad.png
2. Brahmanic Hindus.,30-40,UNMARRIED,37,37,0,Aurangabad.png
2. Brahmanic Hindus.,30-40,MARRIED,4141,2011,2130,Aurangabad.png
2. Brahmanic Hindus.,30-40,WIDOWED,461,103,358,Aurangabad.png
2. Brahmanic Hindus.,30-40,DIVORCED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,40-50,POPULATION,3357,2237,1120,Aurangabad.png
2. Brahmanic Hindus.,40-50,UNMARRIED,20,20,0,Aurangabad.png
2. Brahmanic Hindus.,40-50,MARRIED,2760,2027,733,Aurangabad.png
2. Brahmanic Hindus.,40-50,WIDOWED,577,190,387,Aurangabad.png
2. Brahmanic Hindus.,40-50,DIVORCED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,50-60,POPULATION,2104,1388,716,Aurangabad.png
2. Brahmanic Hindus.,50-60,UNMARRIED,32,32,0,Aurangabad.png
2. Brahmanic Hindus.,50-60,MARRIED,1617,1185,432,Aurangabad.png
2. Brahmanic Hindus.,50-60,WIDOWED,455,171,284,Aurangabad.png
2. Brahmanic Hindus.,50-60,DIVORCED,0,0,0,Aurangabad.png
2. Brahmanic Hindus.,60 & over,POPULATION,1293,678,615,Aurangabad.png
2. Brahmanic Hindus.,60 & over,UNMARRIED,9,9,0,Aurangabad.png
2. Brahmanic Hindus.,60 & over,MARRIED,803,515,288,Aurangabad.png
2. Brahmanic Hindus.,60 & over,WIDOWED,481,154,327,Aurangabad.png
2. Brahmanic Hindus.,60 & over,DIVORCED,0,0,0,Aurangabad.png
3. Other Hindus,Total,POPULATION,630471,323870,306601,Aurangabad.png
3. Other Hindus,Total,UNMARRIED,218551,128427,90124,Aurangabad.png
3. Other Hindus,Total,MARRIED,362585,180784,181801,Aurangabad.png
3. Other Hindus,Total,WIDOWED,44648,12723,31925,Aurangabad.png
3. Other Hindus,Total,DIVORCED,4687,1936,2751,Aurangabad.png
3. Other Hindus,0-1,POPULATION,20804,10457,10347,Aurangabad.png
3. Other Hindus,0-1,UNMARRIED,20658,10412,10246,Aurangabad.png
3. Other Hindus,0-1,MARRIED,139,45,94,Aurangabad.png
3. Other Hindus,0-1,WIDOWED,7,0,7,Aurangabad.png
3. Other Hindus,0-1,DIVORCED,0,0,0,Aurangabad.png
3. Other Hindus,1-5,POPULATION,77128,39913,37215,Aurangabad.png
3. Other Hindus,1-5,UNMARRIED,73850,37635,36215,Aurangabad.png
3. Other Hindus,1-5,MARRIED,3179,2278,901,Aurangabad.png
3. Other Hindus,1-5,WIDOWED,99,0,99,Aurangabad.png
3. Other Hindus,1-5,DIVORCED,0,0,0,Aurangabad.png
3. Other Hindus,5-10,POPULATION,76976,38119,38857,Aurangabad.png
3. Other Hindus,5-10,UNMARRIED,55839,31727,24112,Aurangabad.png
3. Other Hindus,5-10,MARRIED,20840,6345,14495,Aurangabad.png
3. Other Hindus,5-10,WIDOWED,296,46,250,Aurangabad.png
3. Other Hindus,5-10,DIVORCED,1,1,0,Aurangabad.png
3. Other Hindus,10-15,POPULATION,77447,39884,37563,Aurangabad.png
3. Other Hindus,10-15,UNMARRIED,37927,25312,12615,Aurangabad.png
3. Other Hindus,10-15,MARRIED,37863,13449,24414,Aurangabad.png
3. Other Hindus,10-15,WIDOWED,1063,956,107,Aurangabad.png
3. Other Hindus,10-15,DIVORCED,594,167,427,Aurangabad.png
3. Other Hindus,15-20,POPULATION,59387,28908,30479,Aurangabad.png
3. Other Hindus,15-20,UNMARRIED,14456,12427,2029,Aurangabad.png
3. Other Hindus,15-20,MARRIED,43441,16032,27409,Aurangabad.png
3. Other Hindus,15-20,WIDOWED,1267,357,910,Aurangabad.png
3. Other Hindus,15-20,DIVORCED,223,92,131,Aurangabad.png
3. Other Hindus,20-30,POPULATION,110615,53801,56814,Aurangabad.png
3. Other Hindus,20-30,UNMARRIED,10091,7453,2638,Aurangabad.png
3. Other Hindus,20-30,MARRIED,95355,44432,50923,Aurangabad.png
3. Other Hindus,20-30,WIDOWED,3884,1363,2521,Aurangabad.png
3. Other Hindus,20-30,DIVORCED,1285,553,732,Aurangabad.png
3. Other Hindus,30-40,POPULATION,82228,45349,36879,Aurangabad.png
3. Other Hindus,30-40,UNMARRIED,2969,1836,1133,Aurangabad.png
3. Other Hindus,30-40,MARRIED,72544,41235,31309,Aurangabad.png
3. Other Hindus,30-40,WIDOWED,5606,1854,3752,Aurangabad.png
3. Other Hindus,30-40,DIVORCED,1109,424,685,Aurangabad.png
3. Other Hindus,40-50,POPULATION,58298,32839,25459,Aurangabad.png
3. Other Hindus,40-50,UNMARRIED,1668,926,742,Aurangabad.png
3. Other Hindus,40-50,MARRIED,46853,29132,17721,Aurangabad.png
3. Other Hindus,40-50,WIDOWED,9254,2498,6756,Aurangabad.png
3. Other Hindus,40-50,DIVORCED,523,283,240,Aurangabad.png
3. Other Hindus,50-60,POPULATION,35544,19108,16436,Aurangabad.png
3. Other Hindus,50-60,UNMARRIED,574,318,256,Aurangabad.png
3. Other Hindus,50-60,MARRIED,24146,15587,8559,Aurangabad.png
3. Other Hindus,50-60,WIDOWED,10289,2998,7291,Aurangabad.png
3. Other Hindus,50-60,DIVORCED,535,205,330,Aurangabad.png
3. Other Hindus,60 & over,POPULATION,32044,15492,16552,Aurangabad.png
3. Other Hindus,60 & over,UNMARRIED,519,331,188,Aurangabad.png
3. Other Hindus,60 & over,MARRIED,18225,12249,5976,Aurangabad.png
3. Other Hindus,60 & over,WIDOWED,12883,2651,10232,Aurangabad.png
3. Other Hindus,60 & over,DIVORCED,417,211,206,Aurangabad.png
1. ALL COMMUNITIES.,0-1,POPULATION,1569,754,815,Baghat.png
1. ALL COMMUNITIES.,0-1,UNMARRIED,1558,754,804,Baghat.png
1. ALL COMMUNITIES.,0-1,MARRIED,11,0,11,Baghat.png
1. ALL COMMUNITIES.,0-1,WIDOWED,0,0,0,Baghat.png
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0,Baghat.png
1. ALL COMMUNITIES.,1-5,POPULATION,6157,2527,3630,Baghat.png
1. ALL COMMUNITIES.,1-5,UNMARRIED,5951,2499,3452,Baghat.png
1. ALL COMMUNITIES.,1-5,MARRIED,199,28,171,Baghat.png
1. ALL COMMUNITIES.,1-5,WIDOWED,7,0,7,Baghat.png
1. ALL COMMUNITIES.,1-5,DIVORCED,0,0,0,Baghat.png
1. ALL COMMUNITIES.,5-10,POPULATION,8432,3451,4981,Baghat.png
1. ALL COMMUNITIES.,5-10,UNMARRIED,7375,3310,4065,Baghat.png
1. ALL COMMUNITIES.,5-10,MARRIED,1040,141,899,Baghat.png
1. ALL COMMUNITIES.,5-10,WIDOWED,17,0,17,Baghat.png
1. ALL COMMUNITIES.,5-10,DIVORCED,0,0,0,Baghat.png
1. ALL COMMUNITIES.,10-15,POPULATION,10547,4815,5732,Baghat.png
1. ALL COMMUNITIES.,10-15,UNMARRIED,7315,3987,3328,Baghat.png
1. ALL COMMUNITIES.,10-15,MARRIED,3106,825,2281,Baghat.png
1. ALL COMMUNITIES.,10-15,WIDOWED,126,3,123,Baghat.png
1. ALL COMMUNITIES.,10-15,DIVORCED,0,0,0,Baghat.png
1. ALL COMMUNITIES.,15-20,POPULATION,11732,6316,5416,Baghat.png
1. ALL COMMUNITIES.,15-20,UNMARRIED,6328,4749,1579,Baghat.png
1. ALL COMMUNITIES.,15-20,MARRIED,5198,1554,3644,Baghat.png
1. ALL COMMUNITIES.,15-20,WIDOWED,206,13,193,Baghat.png
1. ALL COMMUNITIES.,15-20,DIVORCED,0,0,0,Baghat.png
1. ALL COMMUNITIES.,20-30,POPULATION,18215,10495,7720,Baghat.png
1. ALL COMMUNITIES.,20-30,UNMARRIED,4259,3860,399,Baghat.png
1. ALL COMMUNITIES.,20-30,MARRIED,13111,6418,6693,Baghat.png
1. ALL COMMUNITIES.,20-30,WIDOWED,831,207,624,Baghat.png
1. ALL COMMUNITIES.,20-30,DIVORCED,14,10,4,Baghat.png
1. ALL COMMUNITIES.,30-40,POPULATION,13354,6490,6864,Baghat.png
1. ALL COMMUNITIES.,30-40,UNMARRIED,375,300,75,Baghat.png
1. ALL COMMUNITIES.,30-40,MARRIED,11717,5840,5877,Baghat.png
1. ALL COMMUNITIES.,30-40,WIDOWED,1213,336,877,Baghat.png
1. ALL COMMUNITIES.,30-40,DIVORCED,49,14,35,Baghat.png
1. ALL COMMUNITIES.,40-50,POPULATION,10955,5834,5121,Baghat.png
1. ALL COMMUNITIES.,40-50,UNMARRIED,263,216,47,Baghat.png
1. ALL COMMUNITIES.,40-50,MARRIED,9363,5339,4024,Baghat.png
1. ALL COMMUNITIES.,40-50,WIDOWED,1271,268,1003,Baghat.png
1. ALL COMMUNITIES.,40-50,DIVORCED,58,11,47,Baghat.png
1. ALL COMMUNITIES.,50-60,POPULATION,6375,3737,2638,Baghat.png
1. ALL COMMUNITIES.,50-60,UNMARRIED,120,104,16,Baghat.png
1. ALL COMMUNITIES.,50-60,MARRIED,5219,3407,1812,Baghat.png
1. ALL COMMUNITIES.,50-60,WIDOWED,950,215,735,Baghat.png
1. ALL COMMUNITIES.,50-60,DIVORCED,86,11,75,Baghat.png
1. ALL COMMUNITIES.,60 & over,POPULATION,3079,1624,1455,Baghat.png
1. ALL COMMUNITIES.,60 & over,UNMARRIED,54,54,0,Baghat.png
1. ALL COMMUNITIES.,60 & over,MARRIED,2228,1371,857,Baghat.png
1. ALL COMMUNITIES.,60 & over,WIDOWED,751,189,562,Baghat.png
1. ALL COMMUNITIES.,60 & over,DIVORCED,46,10,36,Baghat.png
1. ALL COMMUNITIES.,Total,POPULATION,90415,46043,44372,Baghat.png
1. ALL COMMUNITIES.,Total,UNMARRIED,33598,19833,13765,Baghat.png
1. ALL COMMUNITIES.,Total,MARRIED,51192,24923,26269,Baghat.png
1. ALL COMMUNITIES.,Total,WIDOWED,5372,1231,4141,Baghat.png
1. ALL COMMUNITIES.,Total,DIVORCED,253,56,197,Baghat.png
2. Brahmanic Hindus.,Total,POPULATION,1381,683,698,Baghat.png
2. Brahmanic Hindus.,Total,UNMARRIED,529,275,254,Baghat.png
2. Brahmanic Hindus.,Total,MARRIED,794,395,399,Baghat.png
2. Brahmanic Hindus.,Total,WIDOWED,58,13,45,Baghat.png
2. Brahmanic Hindus.,Total,DIVORCED,0,0,0,Baghat.png
2. Brahmanic Hindus.,0-1,POPULATION,28,11,17,Baghat.png
2. Brahmanic Hindus.,0-1,UNMARRIED,28,11,17,Baghat.png
2. Brahmanic Hindus.,0-1,MARRIED,0,0,0,Baghat.png
2. Brahmanic Hindus.,0-1,WIDOWED,0,0,0,Baghat.png
2. Brahmanic Hindus.,0-1,DIVORCED,0,0,0,Baghat.png
2. Brahmanic Hindus.,1-5,POPULATION,73,30,43,Baghat.png
2. Brahmanic Hindus.,1-5,UNMARRIED,73,30,43,Baghat.png
2. Brahmanic Hindus.,1-5,MARRIED,0,0,0,Baghat.png
2. Brahmanic Hindus.,1-5,WIDOWED,0,0,0,Baghat.png
2. Brahmanic Hindus.,1-5,DIVORCED,0,0,0,Baghat.png
2. Brahmanic Hindus.,5-10,POPULATION,53,19,34,Baghat.png
2. Brahmanic Hindus.,5-10,UNMARRIED,51,19,32,Baghat.png
2. Brahmanic Hindus.,5-10,MARRIED,2,0,2,Baghat.png
2. Brahmanic Hindus.,5-10,WIDOWED,0,0,0,Baghat.png
2. Brahmanic Hindus.,5-10,DIVORCED,0,0,0,Baghat.png
2. Brahmanic Hindus.,10-15,POPULATION,162,54,108,Baghat.png
2. Brahmanic Hindus.,10-15,UNMARRIED,133,44,89,Baghat.png
2. Brahmanic Hindus.,10-15,MARRIED,29,10,19,Baghat.png
2. Brahmanic Hindus.,10-15,WIDOWED,0,0,0,Baghat.png
2. Brahmanic Hindus.,10-15,DIVORCED,0,0,0,Baghat.png
2. Brahmanic Hindus.,15-20,POPULATION,181,67,114,Baghat.png
2. Brahmanic Hindus.,15-20,UNMARRIED,124,51,73,Baghat.png
2. Brahmanic Hindus.,15-20,MARRIED,57,16,41,Baghat.png
2. Brahmanic Hindus.,15-20,WIDOWED,0,0,0,Baghat.png
2. Brahmanic Hindus.,15-20,DIVORCED,0,0,0,Baghat.png
2. Brahmanic Hindus.,20-30,POPULATION,317,204,113,Baghat.png
2. Brahmanic Hindus.,20-30,UNMARRIED,92,92,0,Baghat.png
2. Brahmanic Hindus.,20-30,MARRIED,221,112,109,Baghat.png
2. Brahmanic Hindus.,20-30,WIDOWED,4,0,4,Baghat.png
2. Brahmanic Hindus.,20-30,DIVORCED,0,0,0,Baghat.png
2. Brahmanic Hindus.,30-40,POPULATION,275,142,133,Baghat.png
2. Brahmanic Hindus.,30-40,UNMARRIED,18,18,0,Baghat.png
2. Brahmanic Hindus.,30-40,MARRIED,245,122,123,Baghat.png
2. Brahmanic Hindus.,30-40,WIDOWED,12,2,10,Baghat.png
2. Brahmanic Hindus.,30-40,DIVORCED,0,0,0,Baghat.png
2. Brahmanic Hindus.,40-50,POPULATION,190,100,90,Baghat.png
2. Brahmanic Hindus.,40-50,UNMARRIED,7,7,0,Baghat.png
2. Brahmanic Hindus.,40-50,MARRIED,169,91,78,Baghat.png
2. Brahmanic Hindus.,40-50,WIDOWED,14,2,12,Baghat.png
2. Brahmanic Hindus.,40-50,DIVORCED,0,0,0,Baghat.png
2. Brahmanic Hindus.,50-60,POPULATION,85,51,34,Baghat.png
2. Brahmanic Hindus.,50-60,UNMARRIED,3,3,0,Baghat.png
2. Brahmanic Hindus.,50-60,MARRIED,69,44,25,Baghat.png
2. Brahmanic Hindus.,50-60,WIDOWED,13,4,9,Baghat.png
2. Brahmanic Hindus.,50-60,DIVORCED,0,0,0,Baghat.png
2. Brahmanic Hindus.,60 & over,POPULATION,17,5,12,Baghat.png
2. Brahmanic Hindus.,60 & over,UNMARRIED,0,0,0,Baghat.png
2. Brahmanic Hindus.,60 & over,MARRIED,2,0,2,Baghat.png
2. Brahmanic Hindus.,60 & over,WIDOWED,15,5,10,Baghat.png
2. Brahmanic Hindus.,60 & over,DIVORCED,0,0,0,Baghat.png
3. Other Hindus,Total,POPULATION,56664,28862,27802,Baghat.png
3. Other Hindus,Total,UNMARRIED,20691,11675,9016,Baghat.png
3. Other Hindus,Total,MARRIED,32702,16606,16096,Baghat.png
3. Other Hindus,Total,WIDOWED,3128,555,2573,Baghat.png
3. Other Hindus,Total,DIVORCED,143,26,117,Baghat.png
3. Other Hindus,0-1,POPULATION,883,433,450,Baghat.png
3. Other Hindus,0-1,UNMARRIED,872,433,439,Baghat.png
3. Other Hindus,0-1,MARRIED,11,0,11,Baghat.png
3. Other Hindus,0-1,WIDOWED,0,0,0,Baghat.png
3. Other Hindus,0-1,DIVORCED,0,0,0,Baghat.png
3. Other Hindus,1-5,POPULATION,2927,1410,1517,Baghat.png
3. Other Hindus,1-5,UNMARRIED,2828,1400,1428,Baghat.png
3. Other Hindus,1-5,MARRIED,96,10,86,Baghat.png
3. Other Hindus,1-5,WIDOWED,3,0,3,Baghat.png
3. Other Hindus,1-5,DIVORCED,0,0,0,Baghat.png
3. Other Hindus,5-10,POPULATION,6306,2261,4045,Baghat.png
3. Other Hindus,5-10,UNMARRIED,5428,2167,3261,Baghat.png
3. Other Hindus,5-10,MARRIED,867,94,773,Baghat.png
3. Other Hindus,5-10,WIDOWED,11,0,11,Baghat.png
3. Other Hindus,5-10,DIVORCED,0,0,0,Baghat.png
3. Other Hindus,10-15,POPULATION,7345,2830,4515,Baghat.png
3. Other Hindus,10-15,UNMARRIED,5115,2300,2815,Baghat.png
3. Other Hindus,10-15,MARRIED,2130,527,1603,Baghat.png
3. Other Hindus,10-15,WIDOWED,100,3,97,Baghat.png
3. Other Hindus,10-15,DIVORCED,0,0,0,Baghat.png
3. Other Hindus,15-20,POPULATION,6667,3762,2905,Baghat.png
3. Other Hindus,15-20,UNMARRIED,3752,2891,861,Baghat.png
3. Other Hindus,15-20,MARRIED,2759,858,1901,Baghat.png
3. Other Hindus,15-20,WIDOWED,156,13,143,Baghat.png
3. Other Hindus,15-20,DIVORCED,0,0,0,Baghat.png
3. Other Hindus,20-30,POPULATION,10178,6019,4159,Baghat.png
3. Other Hindus,20-30,UNMARRIED,2246,2113,133,Baghat.png
3. Other Hindus,20-30,MARRIED,7419,3837,3582,Baghat.png
3. Other Hindus,20-30,WIDOWED,509,66,443,Baghat.png
3. Other Hindus,20-30,DIVORCED,4,3,1,Baghat.png
3. Other Hindus,30-40,POPULATION,8696,4289,4407,Baghat.png
3. Other Hindus,30-40,UNMARRIED,225,181,44,Baghat.png
3. Other Hindus,30-40,MARRIED,7898,3992,3906,Baghat.png
3. Other Hindus,30-40,WIDOWED,554,112,442,Baghat.png
3. Other Hindus,30-40,DIVORCED,19,4,15,Baghat.png
3. Other Hindus,40-50,POPULATION,7239,3961,3278,Baghat.png
3. Other Hindus,40-50,UNMARRIED,122,95,27,Baghat.png
3. Other Hindus,40-50,MARRIED,6368,3763,2605,Baghat.png
3. Other Hindus,40-50,WIDOWED,718,99,619,Baghat.png
3. Other Hindus,40-50,DIVORCED,31,4,27,Baghat.png
3. Other Hindus,50-60,POPULATION,4273,2756,1517,Baghat.png
3. Other Hindus,50-60,UNMARRIED,59,51,8,Baghat.png
3. Other Hindus,50-60,MARRIED,3565,2580,985,Baghat.png
3. Other Hindus,50-60,WIDOWED,593,118,475,Baghat.png
3. Other Hindus,50-60,DIVORCED,56,7,49,Baghat.png
3. Other Hindus,60 & over,POPULATION,2150,1141,1009,Baghat.png
3. Other Hindus,60 & over,UNMARRIED,44,44,0,Baghat.png
3. Other Hindus,60 & over,MARRIED,1589,945,644,Baghat.png
3. Other Hindus,60 & over,WIDOWED,484,144,340,Baghat.png
3. Other Hindus,60 & over,DIVORCED,33,8,25,Baghat.png
1. ALL COMMUNITIES.,0-1,POPULATION,39492,18359,21133,Bidar.png
1. ALL COMMUNITIES.,0-1,UNMARRIED,39004,18138,20866,Bidar.png
1. ALL COMMUNITIES.,0-1,MARRIED,478,220,258,Bidar.png
1. ALL COMMUNITIES.,0-1,WIDOWED,10,1,9,Bidar.png
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0,Bidar.png
1. ALL COMMUNITIES.,1-5,POPULATION,121922,59655,62267,Bidar.png
1. ALL COMMUNITIES.,1-5,UNMARRIED,114895,56468,58427,Bidar.png
1. ALL COMMUNITIES.,1-5,MARRIED,6714,3057,3657,Bidar.png
1. ALL COMMUNITIES.,1-5,WIDOWED,313,130,183,Bidar.png
1. ALL COMMUNITIES.,1-5,DIVORCED,0,0,0,Bidar.png
1. ALL COMMUNITIES.,5-10,POPULATION,92708,45327,47381,Bidar.png
1. ALL COMMUNITIES.,5-10,UNMARRIED,64523,34442,30081,Bidar.png
1. ALL COMMUNITIES.,5-10,MARRIED,27542,10641,16901,Bidar.png
1. ALL COMMUNITIES.,5-10,WIDOWED,627,244,383,Bidar.png
1. ALL COMMUNITIES.,5-10,DIVORCED,16,0,16,Bidar.png
1. ALL COMMUNITIES.,10-15,POPULATION,114587,61560,53027,Bidar.png
1. ALL COMMUNITIES.,10-15,UNMARRIED,63562,40455,23107,Bidar.png
1. ALL COMMUNITIES.,10-15,MARRIED,49770,20669,29101,Bidar.png
1. ALL COMMUNITIES.,10-15,WIDOWED,1207,429,778,Bidar.png
1. ALL COMMUNITIES.,10-15,DIVORCED,48,7,41,Bidar.png
1. ALL COMMUNITIES.,15-20,POPULATION,100442,55593,44849,Bidar.png
1. ALL COMMUNITIES.,15-20,UNMARRIED,32967,26943,6024,Bidar.png
1. ALL COMMUNITIES.,15-20,MARRIED,65766,28061,37705,Bidar.png
1. ALL COMMUNITIES.,15-20,WIDOWED,1589,551,1038,Bidar.png
1. ALL COMMUNITIES.,15-20,DIVORCED,120,38,82,Bidar.png
1. ALL COMMUNITIES.,20-30,POPULATION,149911,74928,74983,Bidar.png
1. ALL COMMUNITIES.,20-30,UNMARRIED,18298,14392,3906,Bidar.png
1. ALL COMMUNITIES.,20-30,MARRIED,125435,58933,66502,Bidar.png
1. ALL COMMUNITIES.,20-30,WIDOWED,5737,1467,4270,Bidar.png
1. ALL COMMUNITIES.,20-30,DIVORCED,441,136,305,Bidar.png
1. ALL COMMUNITIES.,30-40,POPULATION,133680,66881,66799,Bidar.png
1. ALL COMMUNITIES.,30-40,UNMARRIED,5307,3885,1422,Bidar.png
1. ALL COMMUNITIES.,30-40,MARRIED,113770,59109,54661,Bidar.png
1. ALL COMMUNITIES.,30-40,WIDOWED,13884,3675,10209,Bidar.png
1. ALL COMMUNITIES.,30-40,DIVORCED,719,212,507,Bidar.png
1. ALL COMMUNITIES.,40-50,POPULATION,116287,60233,56054,Bidar.png
1. ALL COMMUNITIES.,40-50,UNMARRIED,2850,2094,756,Bidar.png
1. ALL COMMUNITIES.,40-50,MARRIED,98399,53561,44838,Bidar.png
1. ALL COMMUNITIES.,40-50,WIDOWED,14355,4345,10010,Bidar.png
1. ALL COMMUNITIES.,40-50,DIVORCED,683,233,450,Bidar.png
1. ALL COMMUNITIES.,50-60,POPULATION,90611,49425,41186,Bidar.png
1. ALL COMMUNITIES.,50-60,UNMARRIED,1267,923,344,Bidar.png
1. ALL COMMUNITIES.,50-60,MARRIED,68099,41613,26486,Bidar.png
1. ALL COMMUNITIES.,50-60,WIDOWED,20525,6640,13885,Bidar.png
1. ALL COMMUNITIES.,50-60,DIVORCED,720,249,471,Bidar.png
1. ALL COMMUNITIES.,60 & over,POPULATION,63842,33633,30209,Bidar.png
1. ALL COMMUNITIES.,60 & over,UNMARRIED,853,567,286,Bidar.png
1. ALL COMMUNITIES.,60 & over,MARRIED,40289,24955,15334,Bidar.png
1. ALL COMMUNITIES.,60 & over,WIDOWED,21953,7836,14117,Bidar.png
1. ALL COMMUNITIES.,60 & over,DIVORCED,747,275,472,Bidar.png
1. ALL COMMUNITIES.,Total,POPULATION,1023482,525594,497888,Bidar.png
1. ALL COMMUNITIES.,Total,UNMARRIED,343526,198307,145219,Bidar.png
